GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "06001","Alameda, CA",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",11125491,12084197,12951614,13427110,14712226,16241787,16351695,16406115,16751629,16062519,16555309,16909103,18267512,21314695,22688632,24317848,26761811,28085872,28508105
 "06001","Alameda, CA",8,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",2581893,2954636,3302069,3079335,3436558,3696950,3450382,2851830,3204964,2295272,2470874,2573368,2615301,4287993,4657067,5086030,6325252,6141942,6271301
 "06001","Alameda, CA",8,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",8543598,9129561,9649545,10347776,11275667,12544837,12901314,13554285,13546666,13767246,14084435,14335735,15652211,17026702,18031565,19231818,20436560,21943929,22236804
 "06001","Alameda, CA",8,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",9963968,9902660,10201277,10932559,11488274,12286910,13572910,14966643,14086675,14698548,15995316,17129863,17583018,18056666,19789931,19636384,20844564,22180295,23282635
 "06001","Alameda, CA",8,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",5955092,6203273,6293558,6838377,7222912,7793767,8719950,10128468,9521256,9838991,10502147,11251225,11482781,12300592,13779982,13725218,14403866,15091067,15854034
 "06001","Alameda, CA",8,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",1956258,1743542,1918254,1941566,2022561,2093990,2267816,2225524,2234330,2371853,3002747,3320647,3383081,2844196,2851587,2542173,2750771,3148641,3311890
 "06001","Alameda, CA",8,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",2052618,1955846,1989465,2152616,2242801,2399152,2585144,2612651,2331089,2487704,2490422,2557991,2717156,2911878,3158362,3368993,3689927,3940586,4116711
 "06001","Alameda, CA",8,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",4269031,4773561,5254796,5424524,5681435,6045689,6244528,6956430,7505744,8644810,8475040,8945535,9498771,9949283,10655795,11107703,10952324,11267469,11842171
 "06001","Alameda, CA",8,CAGDP2,69,"61","   Educational services","Thousands of dollars",434033,471264,557209,628816,665192,726542,759816,827620,936843,960644,1011152,1054086,1072672,1222084,1245176,1314573,1342006,1378789,1399531
 "06001","Alameda, CA",8,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",3834997,4302298,4697587,4795707,5016243,5319148,5484712,6128811,6568901,7684166,7463888,7891450,8426099,8727199,9410619,9793130,9610318,9888681,10442640
 "06001","Alameda, CA",8,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",2368366,2564035,2556101,2395095,2385941,2527364,2514654,2720491,2556268,2575518,2838324,3168200,3249126,3660608,4434378,4862520,5221455,5425235,5804229
 "06001","Alameda, CA",8,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",729285,814731,817971,749689,768855,750499,726444,892824,880243,885920,1023198,1151203,981023,1045306,1432140,1603007,1743143,1728802,1867231
 "06001","Alameda, CA",8,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",1639081,1749305,1738130,1645405,1617087,1776865,1788210,1827666,1676025,1689598,1815126,2016997,2268103,2615302,3002238,3259513,3478312,3696433,3936998
 "06001","Alameda, CA",8,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",1696562,1826661,1818671,1867511,1922991,2003827,1998116,1946924,1888955,1831834,1877359,1927784,2020712,2104356,2232168,2374343,2531402,2744289,2894069
 "06001","Alameda, CA",8,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",9051105,9751380,10163771,10779693,10990688,11452030,11814474,11371262,11320302,11459409,11620807,11805990,12592212,13508076,14373488,15104004,15275036,15766687,16359181
 "06001","Alameda, CA",8,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),136439,131946,147566,141764,157629,194263,140310,140805
